trial_in_run	posture	stim_side	stim_segment	soa	tactor1side	tactor1segment	tactor2side	tactor2segment	response_correct	rt	trial
36	crossed	different	same	100	right	lower	left	lower	0	804	381
37	crossed	different	same	50	left	lower	right	lower	0	731	382
38	crossed	same	different	800	left	upper	left	lower	0	1512	383
39	crossed	different	different	800	left	upper	right	lower	1	1651	384
40	crossed	same	same	300	right	lower	right	lower	1	1301	385
41	crossed	different	same	50	left	lower	right	lower	1	1317	386
42	crossed	different	different	100	left	upper	right	lower	0	1662	387
43	crossed	same	different	800	right	upper	right	lower	0	1812	388
44	crossed	different	different	100	right	upper	left	lower	1	1735	389
45	crossed	same	different	100	left	upper	left	lower	1	1477	390
46	crossed	different	different	50	right	upper	left	lower	1	1429	391
47	crossed	same	different	800	left	lower	left	upper	1	955	392
48	crossed	different	same	300	left	lower	right	lower	0	1445	393
49	crossed	same	different	800	left	upper	left	lower	1	890	394
50	crossed	different	different	300	left	upper	right	lower	1	1232	395
51	crossed	different	different	100	right	upper	left	lower	1	1281	396
52	crossed	same	same	50	right	lower	right	lower	1	1758	397
53	crossed	same	same	50	left	lower	left	lower	1	984	398
54	crossed	same	different	100	right	upper	right	lower	0	2158	399
55	crossed	same	different	800	right	lower	right	upper	1	1386	400
56	crossed	different	same	50	right	lower	left	lower	1	1364	401
57	crossed	same	same	100	left	lower	left	lower	1	1051	402
58	crossed	same	different	800	left	upper	left	lower	1	1496	403
59	crossed	different	same	300	left	lower	right	lower	1	2055	404
60	crossed	different	same	300	left	lower	right	lower	1	1839	405
61	crossed	same	same	50	left	lower	left	lower	1	1069	406
62	crossed	same	different	50	right	upper	right	lower	1	1491	407
63	crossed	different	different	50	left	lower	right	upper	1	1518	408
64	crossed	different	same	800	right	lower	left	lower	1	823	409
65	crossed	different	same	800	left	lower	right	lower	1	735	410
66	crossed	same	different	100	left	lower	left	upper	1	964	411
67	crossed	same	same	300	right	lower	right	lower	1	1683	412
68	crossed	different	different	100	left	lower	right	upper	1	1439	413
69	crossed	different	different	100	right	upper	left	lower	1	1896	414
70	crossed	different	different	300	right	upper	left	lower	1	1026	415
71	crossed	same	same	800	right	lower	right	lower	1	1169	416
72	crossed	same	different	50	left	upper	left	lower	1	1685	417
73	crossed	different	same	100	left	lower	right	lower	1	1432	418
74	crossed	different	same	100	left	lower	right	lower	1	1357	419
75	crossed	same	same	300	left	lower	left	lower	1	1688	420
76	crossed	different	different	300	right	upper	left	lower	1	2461	421
77	crossed	same	different	100	right	lower	right	upper	1	1302	422
78	crossed	different	same	800	right	lower	left	lower	1	1049	423
79	crossed	different	different	300	left	lower	right	upper	1	1064	424
80	crossed	different	same	300	right	lower	left	lower	1	1097	425
81	crossed	same	same	50	left	lower	left	lower	1	902	426
82	crossed	same	same	300	left	lower	left	lower	1	913	427
83	crossed	same	same	800	right	lower	right	lower	1	1352	428
84	crossed	different	same	50	left	lower	right	lower	1	900	429
85	crossed	same	different	300	left	upper	left	lower	1	730	430
86	crossed	same	different	300	right	lower	right	upper	1	977	431
87	crossed	different	different	50	left	upper	right	lower	1	1955	432
88	crossed	same	same	50	left	lower	left	lower	1	1145	433
89	crossed	different	different	100	left	upper	right	lower	0	2048	434
90	crossed	same	different	50	right	lower	right	upper	0	2045	435
91	crossed	same	different	50	right	lower	right	upper	0	1374	436
92	crossed	different	different	800	right	lower	left	upper	0	972	437
93	crossed	different	different	100	left	lower	right	upper	1	1777	438
94	crossed	different	same	50	right	lower	left	lower	1	1086	439
95	crossed	same	same	300	left	lower	left	lower	1	938	440
96	crossed	different	same	800	right	lower	left	lower	0	1080	441
97	crossed	same	same	800	left	lower	left	lower	1	1051	442
98	crossed	same	same	800	right	lower	right	lower	1	699	443
99	crossed	different	same	100	right	lower	left	lower	1	1137	444
100	crossed	same	same	800	left	lower	left	lower	0	1133	445
101	crossed	different	different	50	left	lower	right	upper	1	2114	446
102	crossed	different	same	50	right	lower	left	lower	1	1221	447
103	crossed	same	different	800	right	upper	right	lower	0	1922	448
104	crossed	same	same	800	right	lower	right	lower	0	1001	449
105	crossed	different	different	800	left	upper	right	lower	1	2571	450
106	crossed	same	same	800	right	lower	right	lower	1	2471	451
107	crossed	same	same	50	left	lower	left	lower	1	990	452
108	crossed	different	different	100	right	lower	left	upper	0	2351	453
109	crossed	same	same	50	right	lower	right	lower	0	1761	454
110	crossed	same	same	50	right	lower	right	lower	1	1177	455
111	crossed	different	different	800	right	upper	left	lower	1	2653	456
112	crossed	different	same	300	right	lower	left	lower	1	2668	457
114	crossed	same	same	300	right	lower	right	lower	1	983	458
115	crossed	same	different	300	left	upper	left	lower	1	916	459
116	crossed	different	different	50	right	lower	left	upper	1	908	460
117	crossed	different	same	100	right	lower	left	lower	1	1050	461
118	crossed	same	same	100	left	lower	left	lower	1	961	462
119	crossed	different	different	100	right	upper	left	lower	0	1853	463
121	crossed	same	different	100	left	upper	left	lower	1	1078	464
122	crossed	different	different	800	right	upper	left	lower	1	1328	465
123	crossed	same	same	100	right	lower	right	lower	1	976	466
124	crossed	different	different	300	right	lower	left	upper	0	2984	467
125	crossed	same	same	50	left	lower	left	lower	1	903	468
126	crossed	different	same	100	left	lower	right	lower	0	1404	469
127	crossed	different	same	800	left	lower	right	lower	0	1456	470
128	crossed	different	same	50	left	lower	right	lower	0	1745	471
129	crossed	different	same	800	right	lower	left	lower	0	1131	472
130	crossed	same	different	300	right	lower	right	upper	0	1897	473
131	crossed	different	same	100	left	lower	right	lower	1	2558	474
132	crossed	different	same	300	right	lower	left	lower	1	1612	475
133	crossed	different	different	300	right	lower	left	upper	1	2966	476
134	crossed	same	same	50	left	lower	left	lower	1	1090	477
135	crossed	same	same	50	right	lower	right	lower	1	1121	478
136	crossed	different	different	100	left	upper	right	lower	0	2518	479
137	crossed	same	same	50	right	lower	right	lower	1	1503	480
138	crossed	different	different	100	left	upper	right	lower	0	1441	481
140	crossed	same	different	100	right	upper	right	lower	1	983	482
141	crossed	same	same	100	left	lower	left	lower	1	1040	483
142	crossed	same	same	100	right	lower	right	lower	1	924	484
143	crossed	different	different	300	left	upper	right	lower	0	1875	485
144	crossed	same	different	100	right	upper	right	lower	1	985	486
145	crossed	same	different	50	right	lower	right	upper	0	1475	487
146	crossed	same	same	300	left	lower	left	lower	1	1214	488
147	crossed	different	different	100	right	lower	left	upper	1	1385	489
148	crossed	same	same	300	right	lower	right	lower	0	1977	490
149	crossed	same	same	300	left	lower	left	lower	1	885	491
150	crossed	same	different	50	left	lower	left	upper	1	911	492
151	crossed	same	same	300	right	lower	right	lower	1	1562	493
152	crossed	different	same	800	left	lower	right	lower	1	868	494
153	crossed	same	same	800	left	lower	left	lower	1	910	495
154	crossed	different	same	300	left	lower	right	lower	1	1715	496
155	crossed	different	same	50	left	lower	right	lower	1	1624	497
156	crossed	same	different	50	right	upper	right	lower	1	1927	498
157	crossed	same	different	800	left	lower	left	upper	1	896	499
158	crossed	different	different	300	left	upper	right	lower	1	1452	500
159	crossed	different	same	100	left	lower	right	lower	1	1684	501
161	crossed	same	same	800	right	lower	right	lower	0	1594	502
162	crossed	same	same	50	left	lower	left	lower	1	1044	503
163	crossed	different	same	50	right	lower	left	lower	1	1119	504
164	crossed	different	same	800	right	lower	left	lower	0	985	505
165	crossed	different	different	800	right	upper	left	lower	1	1356	506
166	crossed	same	different	300	right	upper	right	lower	1	1464	507
167	crossed	different	same	100	left	lower	right	lower	1	1114	508
168	crossed	same	different	50	left	upper	left	lower	1	1259	509
169	crossed	same	same	800	right	lower	right	lower	1	1615	510
170	crossed	different	different	50	left	upper	right	lower	1	1194	511
171	crossed	different	different	300	right	lower	left	upper	1	1146	512
172	crossed	same	same	100	left	lower	left	lower	1	1049	513
173	crossed	different	same	800	right	lower	left	lower	1	1522	514
174	crossed	different	same	800	right	lower	left	lower	1	972	515
175	crossed	different	different	100	right	lower	left	upper	0	1541	516
176	crossed	different	different	50	right	lower	left	upper	0	1161	517
177	crossed	different	different	800	left	lower	right	upper	1	1180	518
178	crossed	different	same	300	left	lower	right	lower	1	905	519
179	crossed	same	same	100	right	lower	right	lower	1	1753	520
180	crossed	same	different	300	left	lower	left	upper	1	1073	521
181	crossed	different	same	50	right	lower	left	lower	1	1200	522
182	crossed	different	different	800	right	lower	left	upper	1	1754	523
183	crossed	same	same	300	left	lower	left	lower	1	1034	524
184	crossed	different	same	300	left	lower	right	lower	0	1575	525
185	crossed	same	same	100	left	lower	left	lower	1	997	526
186	crossed	different	different	800	right	upper	left	lower	0	1170	527
187	crossed	different	different	50	left	upper	right	lower	1	2404	528
188	crossed	same	same	50	right	lower	right	lower	1	1443	529
189	crossed	same	same	100	right	lower	right	lower	1	1079	530
190	crossed	same	different	50	left	lower	left	upper	1	1051	531
191	crossed	same	same	300	left	lower	left	lower	1	690	532
192	crossed	different	same	100	left	lower	right	lower	1	1843	533
193	crossed	different	different	100	left	lower	right	upper	1	1348	534
194	crossed	same	same	300	left	lower	left	lower	1	932	535
195	crossed	different	different	300	left	lower	right	upper	1	798	536
196	crossed	same	different	800	left	lower	left	upper	1	1246	537
197	crossed	same	different	100	right	lower	right	upper	1	1332	538
198	crossed	same	different	800	right	upper	right	lower	1	1779	539
199	crossed	same	same	50	left	lower	left	lower	1	1091	540
200	crossed	different	same	800	left	lower	right	lower	1	1248	541
201	crossed	different	same	300	right	lower	left	lower	0	2086	542
202	crossed	different	different	800	right	lower	left	upper	1	1145	543
203	crossed	same	different	300	right	upper	right	lower	0	1713	544
204	crossed	different	same	100	left	lower	right	lower	0	1572	545
205	crossed	different	different	100	left	lower	right	upper	1	1343	546
206	crossed	different	same	50	left	lower	right	lower	0	1380	547
207	crossed	same	same	300	left	lower	left	lower	1	1109	548
208	crossed	different	different	50	left	lower	right	upper	1	1306	549
209	crossed	different	different	100	right	lower	left	upper	1	1486	550
210	crossed	different	same	300	right	lower	left	lower	1	1599	551
211	crossed	same	different	800	left	lower	left	upper	1	941	552
212	crossed	different	same	800	left	lower	right	lower	1	1390	553
214	crossed	different	different	300	right	lower	left	upper	1	1551	554
215	crossed	same	same	800	left	lower	left	lower	1	984	555
216	crossed	different	same	100	left	lower	right	lower	1	1008	556
217	crossed	different	different	800	left	upper	right	lower	1	2014	557
218	crossed	different	same	100	right	lower	left	lower	1	1102	558
219	crossed	different	different	50	right	upper	left	lower	1	1190	559
220	crossed	same	different	800	right	lower	right	upper	1	894	560
221	crossed	same	same	50	right	lower	right	lower	1	1897	561
222	crossed	same	same	300	right	lower	right	lower	1	1064	562
223	crossed	same	different	800	left	upper	left	lower	1	924	563
224	crossed	different	same	50	right	lower	left	lower	1	1611	564
225	crossed	same	same	100	right	lower	right	lower	1	1039	565
226	crossed	same	different	300	left	upper	left	lower	1	850	566
227	crossed	different	different	300	right	lower	left	upper	1	1016	567
228	crossed	different	same	50	left	lower	right	lower	1	1334	568
229	crossed	same	different	100	left	upper	left	lower	1	856	569
230	crossed	same	same	100	right	lower	right	lower	1	1801	570
231	crossed	same	same	50	left	lower	left	lower	1	1048	571
232	crossed	same	different	100	left	lower	left	upper	1	780	572
233	crossed	same	different	100	left	lower	left	upper	1	711	573
234	crossed	different	same	800	right	lower	left	lower	1	1050	574
235	crossed	same	same	100	right	lower	right	lower	1	1187	575
236	crossed	different	same	100	right	lower	left	lower	1	939	576
237	crossed	same	different	300	right	lower	right	upper	1	1227	577
238	crossed	different	same	800	left	lower	right	lower	1	1051	578
239	crossed	same	same	800	right	lower	right	lower	1	892	579
240	crossed	same	same	50	right	lower	right	lower	1	1124	580
241	crossed	different	same	100	right	lower	left	lower	1	1183	581
242	crossed	different	same	300	right	lower	left	lower	1	940	582
243	crossed	same	same	800	left	lower	left	lower	1	957	583
244	crossed	different	different	300	left	lower	right	upper	1	805	584
245	crossed	same	different	300	right	lower	right	upper	1	806	585
246	crossed	different	different	50	right	upper	left	lower	1	1202	586
247	crossed	same	different	800	right	lower	right	upper	1	999	587
248	crossed	different	same	300	left	lower	right	lower	1	1224	588
249	crossed	same	different	300	left	lower	left	upper	1	1070	589
250	crossed	different	same	50	right	lower	left	lower	1	995	590
251	crossed	same	different	300	left	upper	left	lower	1	905	591
252	crossed	different	different	300	left	lower	right	upper	1	767	592
253	crossed	different	different	300	right	lower	left	upper	1	721	593
254	crossed	same	same	800	right	lower	right	lower	1	641	594
255	crossed	same	different	50	right	upper	right	lower	1	947	595
256	crossed	same	same	100	right	lower	right	lower	1	830	596
257	crossed	same	same	800	right	lower	right	lower	1	913	597
258	crossed	same	same	50	left	lower	left	lower	1	997	598
259	crossed	same	different	300	right	upper	right	lower	1	776	599
260	crossed	different	different	800	left	upper	right	lower	1	843	600
261	crossed	same	different	50	left	lower	left	upper	1	890	601
262	crossed	same	same	100	right	lower	right	lower	1	1424	602
263	crossed	same	different	800	left	lower	left	upper	1	711	603
264	crossed	different	different	300	left	upper	right	lower	1	1015	604
265	crossed	different	different	100	left	upper	right	lower	1	925	605
266	crossed	same	different	100	left	lower	left	upper	1	892	606
267	crossed	different	same	800	left	lower	right	lower	1	805	607
268	crossed	same	same	50	right	lower	right	lower	1	1072	608
269	crossed	same	different	100	right	upper	right	lower	1	913	609
271	crossed	same	different	50	left	upper	left	lower	1	1010	610
272	crossed	different	different	800	right	lower	left	upper	1	708	611
273	crossed	different	same	800	left	lower	right	lower	1	1089	612
274	crossed	different	same	300	left	lower	right	lower	1	796	613
275	crossed	different	same	300	right	lower	left	lower	1	998	614
276	crossed	same	different	50	left	upper	left	lower	1	982	615
277	crossed	different	different	800	left	lower	right	upper	1	2033	616
278	crossed	different	same	300	right	lower	left	lower	1	870	617
279	crossed	different	same	300	right	lower	left	lower	1	736	618
280	crossed	different	same	800	left	lower	right	lower	1	989	619
281	crossed	same	different	300	right	upper	right	lower	1	968	620
282	crossed	same	same	300	right	lower	right	lower	1	788	621
283	crossed	different	different	800	left	upper	right	lower	1	715	622
284	crossed	same	same	800	left	lower	left	lower	1	851	623
285	crossed	same	same	100	left	lower	left	lower	1	896	624
286	crossed	different	same	800	right	lower	left	lower	1	819	625
287	crossed	different	same	100	left	lower	right	lower	1	978	626
288	crossed	different	same	800	left	lower	right	lower	1	1114	627
289	crossed	different	different	50	right	upper	left	lower	1	1837	628
290	crossed	different	different	50	left	lower	right	upper	1	993	629
291	crossed	different	same	50	left	lower	right	lower	1	1154	630
292	crossed	same	same	800	right	lower	right	lower	1	1188	631
293	crossed	different	same	100	right	lower	left	lower	1	1019	632
294	crossed	same	different	50	right	lower	right	upper	1	1030	633
295	crossed	different	different	300	left	upper	right	lower	1	1116	634
296	crossed	same	different	300	left	lower	left	upper	1	864	635
297	crossed	same	same	100	right	lower	right	lower	1	1250	636
298	crossed	same	different	100	right	lower	right	upper	1	843	637
299	crossed	different	different	50	right	lower	left	upper	1	909	638
300	crossed	same	same	50	right	lower	right	lower	1	1204	639
301	crossed	same	same	300	right	lower	right	lower	1	824	640
302	crossed	different	different	300	right	upper	left	lower	1	1064	641
303	crossed	different	different	100	right	lower	left	upper	1	1529	642
304	crossed	different	different	50	right	lower	left	upper	1	1042	643
305	crossed	same	same	300	left	lower	left	lower	1	948	644
306	crossed	different	same	100	right	lower	left	lower	1	1094	645
307	crossed	different	different	100	left	upper	right	lower	1	1012	646
308	crossed	same	different	800	right	lower	right	upper	1	795	647
309	crossed	different	different	300	right	upper	left	lower	1	893	648
310	crossed	different	different	800	right	lower	left	upper	1	728	649
311	crossed	same	different	800	right	upper	right	lower	1	1185	650
312	crossed	same	different	50	left	lower	left	upper	1	1300	651
313	crossed	different	same	100	right	lower	left	lower	1	947	652
314	crossed	different	same	300	left	lower	right	lower	1	963	653
315	crossed	different	same	800	left	lower	right	lower	1	1182	654
316	crossed	same	same	300	right	lower	right	lower	1	1117	655
317	crossed	same	same	300	left	lower	left	lower	1	1090	656
318	crossed	different	same	300	left	lower	right	lower	1	1174	657
319	crossed	same	different	300	right	upper	right	lower	1	1231	658
320	crossed	different	same	50	left	lower	right	lower	1	874	659
321	crossed	different	same	50	right	lower	left	lower	1	1288	660
322	crossed	different	different	50	left	upper	right	lower	1	1032	661
323	crossed	different	different	800	left	upper	right	lower	1	763	662
324	crossed	different	different	50	left	upper	right	lower	1	714	663
325	crossed	different	different	300	right	upper	left	lower	1	805	664
326	crossed	different	different	50	right	lower	left	upper	1	940	665
327	crossed	same	same	100	left	lower	left	lower	1	1017	666
328	crossed	different	same	300	left	lower	right	lower	1	788	667
329	crossed	different	different	300	left	lower	right	upper	1	1208	668
330	crossed	different	same	100	right	lower	left	lower	1	1044	669
331	crossed	same	same	800	left	lower	left	lower	1	1279	670
332	crossed	same	same	100	left	lower	left	lower	1	780	671
333	crossed	same	different	100	left	upper	left	lower	1	719	672
334	crossed	same	same	800	left	lower	left	lower	1	719	673
335	crossed	different	same	300	left	lower	right	lower	1	1118	674
336	crossed	different	different	300	left	upper	right	lower	1	1109	675
337	crossed	same	different	300	left	lower	left	upper	1	1224	676
338	crossed	same	different	800	right	lower	right	upper	1	873	677
339	crossed	different	same	50	left	lower	right	lower	1	1089	678
340	crossed	different	different	300	left	lower	right	upper	1	786	679
341	crossed	different	same	800	right	lower	left	lower	1	1331	680
342	crossed	different	same	800	right	lower	left	lower	1	1241	681
343	crossed	same	same	300	right	lower	right	lower	1	1056	682
344	crossed	same	same	50	right	lower	right	lower	1	1259	683
345	crossed	same	different	300	left	upper	left	lower	1	1555	684
346	crossed	same	different	100	right	upper	right	lower	1	1291	685
347	crossed	different	same	50	left	lower	right	lower	1	1018	686
348	crossed	same	different	50	right	lower	right	upper	1	1145	687
349	crossed	different	same	100	left	lower	right	lower	1	853	688
350	crossed	different	same	50	right	lower	left	lower	1	1367	689
351	crossed	different	different	800	left	lower	right	upper	1	746	690
352	crossed	same	different	300	right	upper	right	lower	1	977	691
353	crossed	same	different	800	left	upper	left	lower	1	1187	692
354	crossed	different	different	800	left	lower	right	upper	1	764	693
355	crossed	same	same	100	left	lower	left	lower	1	895	694
356	crossed	same	different	100	right	lower	right	upper	1	1047	695
357	crossed	same	different	800	left	lower	left	upper	1	1173	696
358	crossed	same	different	50	right	lower	right	upper	1	1017	697
359	crossed	different	same	300	right	lower	left	lower	1	791	698
360	crossed	different	same	300	right	lower	left	lower	1	908	699
361	crossed	different	different	800	right	upper	left	lower	1	1037	700
362	crossed	same	different	100	left	upper	left	lower	1	922	701
363	crossed	different	same	100	right	lower	left	lower	1	1704	702
364	crossed	different	different	800	right	lower	left	upper	1	540	703
365	crossed	same	same	100	left	lower	left	lower	1	868	704
366	crossed	different	different	100	right	lower	left	upper	1	1599	705
367	crossed	same	different	300	right	lower	right	upper	1	973	706
368	crossed	same	same	50	right	lower	right	lower	1	1161	707
369	crossed	different	different	50	right	upper	left	lower	1	845	708
370	crossed	same	same	300	right	lower	right	lower	1	1011	709
371	crossed	different	same	800	right	lower	left	lower	1	1086	710
372	crossed	same	different	50	right	upper	right	lower	1	1186	711
373	crossed	different	different	100	left	lower	right	upper	1	739	712
374	crossed	same	same	300	left	lower	left	lower	1	834	713
375	crossed	same	different	100	right	upper	right	lower	1	1171	714
376	crossed	same	same	800	left	lower	left	lower	1	747	715
377	crossed	different	different	800	left	lower	right	upper	1	594	716
378	crossed	same	same	800	left	lower	left	lower	1	831	717
379	crossed	same	different	50	left	lower	left	upper	1	794	718
380	crossed	same	same	300	right	lower	right	lower	1	951	719
381	crossed	different	same	100	left	lower	right	lower	1	916	720
382	crossed	same	different	100	left	lower	left	upper	1	798	721
383	crossed	same	different	50	left	upper	left	lower	1	703	722
384	crossed	different	different	100	right	upper	left	lower	1	845	723
385	crossed	different	different	50	right	lower	left	upper	1	1085	724
386	crossed	different	different	50	left	lower	right	upper	1	1502	725
387	crossed	different	different	50	left	lower	right	upper	1	759	726
388	crossed	different	same	50	right	lower	left	lower	1	787	727
389	crossed	same	same	100	right	lower	right	lower	1	995	728
390	crossed	different	different	800	right	upper	left	lower	1	734	729
1	uncrossed	different	same	100	right	lower	left	lower	1	734	1114
2	uncrossed	different	same	800	right	lower	left	lower	1	802	1115
3	uncrossed	different	different	50	right	lower	left	upper	1	831	1116
4	uncrossed	same	different	50	right	lower	right	upper	1	800	1117
5	uncrossed	different	same	100	left	lower	right	lower	1	621	1118
6	uncrossed	same	same	300	right	lower	right	lower	1	673	1119
7	uncrossed	different	different	50	left	lower	right	upper	1	599	1120
8	uncrossed	same	same	100	left	lower	left	lower	1	736	1121
9	uncrossed	different	same	300	left	lower	right	lower	1	655	1122
10	uncrossed	different	different	100	left	upper	right	lower	1	649	1123
11	uncrossed	different	different	300	right	lower	left	upper	1	918	1124
12	uncrossed	different	same	100	left	lower	right	lower	1	649	1125
13	uncrossed	same	different	100	right	lower	right	upper	1	871	1126
14	uncrossed	same	same	50	right	lower	right	lower	1	855	1127
15	uncrossed	same	same	50	right	lower	right	lower	1	719	1128
16	uncrossed	different	same	300	right	lower	left	lower	1	677	1129
17	uncrossed	same	different	100	left	upper	left	lower	1	732	1130
18	uncrossed	same	same	800	left	lower	left	lower	1	679	1131
19	uncrossed	same	same	100	left	lower	left	lower	1	672	1132
20	uncrossed	same	different	50	right	lower	right	upper	1	1834	1133
21	uncrossed	different	same	100	left	lower	right	lower	1	663	1134
22	uncrossed	same	same	50	left	lower	left	lower	1	711	1135
23	uncrossed	same	same	100	right	lower	right	lower	1	867	1136
24	uncrossed	same	different	800	left	lower	left	upper	1	788	1137
25	uncrossed	different	same	100	left	lower	right	lower	1	762	1138
26	uncrossed	same	different	300	left	upper	left	lower	1	876	1139
27	uncrossed	same	same	100	right	lower	right	lower	1	995	1140
28	uncrossed	different	different	50	left	upper	right	lower	1	642	1141
29	uncrossed	same	same	100	left	lower	left	lower	1	783	1142
30	uncrossed	same	same	800	left	lower	left	lower	1	101	1143
31	uncrossed	different	same	50	left	lower	right	lower	1	610	1144
33	uncrossed	same	different	800	right	lower	right	upper	1	863	1145
34	uncrossed	different	different	800	right	lower	left	upper	1	717	1146
35	uncrossed	different	different	800	right	upper	left	lower	1	551	1147
36	uncrossed	different	same	800	right	lower	left	lower	1	575	1148
37	uncrossed	same	same	100	right	lower	right	lower	1	958	1149
38	uncrossed	different	same	100	left	lower	right	lower	1	807	1150
39	uncrossed	different	different	50	right	lower	left	upper	1	645	1151
40	uncrossed	same	different	800	right	lower	right	upper	1	712	1152
41	uncrossed	same	different	800	left	lower	left	upper	1	858	1153
42	uncrossed	different	same	800	left	lower	right	lower	1	918	1154
43	uncrossed	same	different	100	left	lower	left	upper	1	757	1155
44	uncrossed	same	different	100	right	upper	right	lower	1	758	1156
45	uncrossed	same	same	300	left	lower	left	lower	1	742	1157
46	uncrossed	same	different	800	right	upper	right	lower	1	689	1158
47	uncrossed	different	different	800	right	upper	left	lower	1	925	1159
48	uncrossed	same	different	300	left	lower	left	upper	1	847	1160
49	uncrossed	same	different	800	left	lower	left	upper	1	782	1161
50	uncrossed	same	same	300	right	lower	right	lower	1	725	1162
51	uncrossed	same	different	100	left	lower	left	upper	1	633	1163
52	uncrossed	different	same	800	right	lower	left	lower	1	797	1164
53	uncrossed	different	same	300	right	lower	left	lower	1	684	1165
55	uncrossed	same	different	50	right	upper	right	lower	1	940	1166
56	uncrossed	same	same	50	left	lower	left	lower	1	792	1167
57	uncrossed	different	different	100	left	upper	right	lower	1	667	1168
59	uncrossed	same	different	50	left	upper	left	lower	1	743	1169
61	uncrossed	same	different	50	left	upper	left	lower	1	978	1170
62	uncrossed	same	same	50	left	lower	left	lower	1	663	1171
63	uncrossed	different	different	800	left	lower	right	upper	1	639	1172
64	uncrossed	same	same	50	right	lower	right	lower	1	1139	1173
65	uncrossed	same	different	800	right	lower	right	upper	1	693	1174
67	uncrossed	different	same	300	right	lower	left	lower	1	717	1175
68	uncrossed	same	different	50	right	upper	right	lower	1	837	1176
70	uncrossed	same	same	300	right	lower	right	lower	1	885	1177
73	uncrossed	different	different	800	right	upper	left	lower	1	2057	1178
76	uncrossed	same	same	100	left	lower	left	lower	1	1039	1179
77	uncrossed	same	same	300	right	lower	right	lower	1	780	1180
78	uncrossed	different	same	800	left	lower	right	lower	1	851	1181
79	uncrossed	same	same	800	left	lower	left	lower	1	1292	1182
80	uncrossed	same	different	300	right	upper	right	lower	1	1071	1183
81	uncrossed	different	same	300	right	lower	left	lower	1	996	1184
83	uncrossed	different	different	800	left	lower	right	upper	1	72	1185
85	uncrossed	same	same	300	left	lower	left	lower	1	848	1186
86	uncrossed	different	different	100	right	lower	left	upper	1	652	1187
88	uncrossed	different	same	50	right	lower	left	lower	1	790	1188
91	uncrossed	same	different	50	left	upper	left	lower	1	870	1189
92	uncrossed	different	same	50	right	lower	left	lower	1	709	1190
93	uncrossed	different	same	50	right	lower	left	lower	1	780	1191
94	uncrossed	different	same	300	left	lower	right	lower	1	629	1192
95	uncrossed	same	same	300	right	lower	right	lower	1	805	1193
96	uncrossed	same	different	800	left	upper	left	lower	1	702	1194
97	uncrossed	different	different	300	left	upper	right	lower	1	823	1195
98	uncrossed	same	different	50	left	lower	left	upper	1	871	1196
99	uncrossed	different	same	300	left	lower	right	lower	1	689	1197
100	uncrossed	same	same	800	left	lower	left	lower	1	722	1198
101	uncrossed	same	same	300	right	lower	right	lower	1	704	1199
102	uncrossed	different	same	800	left	lower	right	lower	1	543	1200
103	uncrossed	different	different	800	left	upper	right	lower	1	1042	1201
104	uncrossed	same	different	800	left	upper	left	lower	1	677	1202
105	uncrossed	same	different	300	left	upper	left	lower	1	622	1203
106	uncrossed	different	different	300	right	lower	left	upper	1	619	1204
107	uncrossed	same	same	100	left	lower	left	lower	1	632	1205
