trial_in_run	posture	stim_side	stim_segment	soa	tactor1side	tactor1segment	tactor2side	tactor2segment	response_correct	rt	trial
1	crossed	same	different	800	left	upper	left	lower	1	1868	346
2	crossed	same	same	100	left	lower	left	lower	1	1437	347
3	crossed	same	same	100	left	lower	left	lower	1	1052	348
4	crossed	same	different	100	left	upper	left	lower	0	2254	349
5	crossed	same	same	800	right	lower	right	lower	1	1724	350
6	crossed	same	different	800	right	upper	right	lower	1	1094	351
7	crossed	different	same	50	left	lower	right	lower	1	1233	352
8	crossed	same	same	800	left	lower	left	lower	1	1646	353
9	crossed	same	different	50	right	upper	right	lower	0	1828	354
10	crossed	same	same	800	left	lower	left	lower	1	1116	355
11	crossed	same	different	800	right	lower	right	upper	1	1650	356
12	crossed	same	same	50	left	lower	left	lower	1	1101	357
13	crossed	different	same	100	right	lower	left	lower	1	1157	358
14	crossed	same	different	100	right	lower	right	upper	1	1267	359
15	crossed	different	same	800	left	lower	right	lower	1	937	360
16	crossed	different	different	100	left	lower	right	upper	1	1035	361
17	crossed	same	different	100	left	lower	left	upper	1	1293	362
18	crossed	different	same	50	right	lower	left	lower	1	1864	363
19	crossed	same	different	300	left	lower	left	upper	1	1115	364
20	crossed	different	same	50	right	lower	left	lower	1	1343	365
21	crossed	same	different	50	left	lower	left	upper	1	1125	366
22	crossed	different	different	50	right	upper	left	lower	1	1473	367
23	crossed	same	different	300	left	lower	left	upper	1	821	368
24	crossed	same	different	50	left	upper	left	lower	1	824	369
25	crossed	different	different	800	left	lower	right	upper	1	694	370
26	crossed	different	different	300	right	upper	left	lower	1	1142	371
27	crossed	same	different	800	right	upper	right	lower	1	1444	372
28	crossed	same	different	300	left	upper	left	lower	1	1042	373
29	crossed	same	different	100	right	lower	right	upper	0	1329	374
30	crossed	same	different	50	right	upper	right	lower	0	1795	375
31	crossed	different	same	300	right	lower	left	lower	0	1033	376
32	crossed	same	different	300	right	lower	right	upper	0	727	377
33	crossed	same	same	100	right	lower	right	lower	0	1740	378
34	crossed	different	different	100	right	upper	left	lower	1	1904	379
35	crossed	different	different	50	left	upper	right	lower	0	906	380
