trial_in_run	posture	stim_side	stim_segment	soa	tactor1side	tactor1segment	tactor2side	tactor2segment	response_correct	rt	trial
37	crossed	different	same	100	right	lower	left	lower	1	702	37
38	crossed	different	same	800	right	lower	left	lower	1	552	38
39	crossed	different	different	100	left	upper	right	lower	1	795	39
40	crossed	same	same	50	left	lower	left	lower	0	1734	40
41	crossed	different	different	300	right	lower	left	upper	1	987	41
42	crossed	same	same	300	left	lower	left	lower	1	599	42
43	crossed	different	same	50	left	lower	right	lower	1	695	43
45	crossed	same	same	50	right	lower	right	lower	1	661	44
46	crossed	different	different	50	left	upper	right	lower	1	516	45
47	crossed	different	different	300	right	lower	left	upper	1	1252	46
48	crossed	same	different	50	right	upper	right	lower	1	457	47
49	crossed	same	different	300	left	upper	left	lower	1	748	48
50	crossed	different	same	300	left	lower	right	lower	1	574	49
51	crossed	same	different	800	left	lower	left	upper	1	749	50
52	crossed	different	different	100	left	lower	right	upper	1	1265	51
53	crossed	same	same	100	right	lower	right	lower	1	931	52
54	crossed	same	same	100	left	lower	left	lower	1	994	53
55	crossed	different	same	50	left	lower	right	lower	1	1608	54
56	crossed	same	same	100	left	lower	left	lower	1	787	55
57	crossed	same	different	50	right	upper	right	lower	1	857	56
58	crossed	different	different	50	right	upper	left	lower	1	648	57
59	crossed	same	different	100	right	lower	right	upper	1	585	58
60	crossed	different	same	50	right	lower	left	lower	1	678	59
61	crossed	different	different	50	left	upper	right	lower	1	2091	60
62	crossed	different	different	100	left	upper	right	lower	1	603	61
63	crossed	same	different	300	right	upper	right	lower	1	824	62
64	crossed	different	same	300	left	lower	right	lower	1	738	63
65	crossed	same	different	800	left	lower	left	upper	1	1386	64
66	crossed	same	same	800	right	lower	right	lower	1	724	65
67	crossed	different	same	100	right	lower	left	lower	1	675	66
68	crossed	same	different	50	right	upper	right	lower	1	623	67
69	crossed	same	same	300	left	lower	left	lower	1	659	68
70	crossed	different	different	800	left	lower	right	upper	1	696	69
71	crossed	different	same	50	right	lower	left	lower	0	805	70
72	crossed	same	same	300	right	lower	right	lower	1	658	71
73	crossed	same	different	100	left	lower	left	upper	1	1032	72
74	crossed	same	different	100	right	upper	right	lower	1	563	73
75	crossed	different	different	50	right	lower	left	upper	1	1305	74
76	crossed	different	different	800	left	lower	right	upper	1	677	75
77	crossed	different	different	100	right	upper	left	lower	1	751	76
78	crossed	same	same	800	left	lower	left	lower	1	686	77
79	crossed	same	same	100	right	lower	right	lower	1	673	78
80	crossed	same	different	100	left	lower	left	upper	1	712	79
81	crossed	same	different	50	left	lower	left	upper	1	493	80
82	crossed	different	same	300	left	lower	right	lower	1	621	81
83	crossed	different	same	100	right	lower	left	lower	1	1584	82
84	crossed	different	same	300	left	lower	right	lower	1	768	83
85	crossed	different	same	300	right	lower	left	lower	1	810	84
86	crossed	different	different	300	left	lower	right	upper	1	625	85
87	crossed	different	different	100	right	lower	left	upper	0	2631	86
88	crossed	same	same	800	left	lower	left	lower	1	656	87
89	crossed	same	different	800	right	lower	right	upper	0	1016	88
90	crossed	different	same	300	right	lower	left	lower	1	914	89
91	crossed	same	same	100	right	lower	right	lower	1	861	90
92	crossed	same	same	800	right	lower	right	lower	1	529	91
93	crossed	same	different	50	right	lower	right	upper	1	523	92
94	crossed	same	same	300	left	lower	left	lower	1	817	93
95	crossed	different	different	100	left	upper	right	lower	1	869	94
96	crossed	same	same	100	right	lower	right	lower	1	756	95
97	crossed	same	same	300	right	lower	right	lower	1	558	96
98	crossed	same	same	50	right	lower	right	lower	1	553	97
99	crossed	different	different	800	left	upper	right	lower	1	773	98
100	crossed	different	same	300	right	lower	left	lower	1	1190	99
101	crossed	same	same	50	right	lower	right	lower	1	632	100
102	crossed	different	different	50	left	lower	right	upper	1	1475	101
103	crossed	same	same	100	left	lower	left	lower	1	1185	102
104	crossed	same	different	100	left	upper	left	lower	1	509	103
105	crossed	different	same	50	left	lower	right	lower	1	755	104
106	crossed	same	different	300	right	lower	right	upper	1	742	105
107	crossed	same	different	800	right	lower	right	upper	1	1107	106
108	crossed	same	different	100	left	lower	left	upper	1	628	107
109	crossed	same	same	300	left	lower	left	lower	1	533	108
110	crossed	same	same	300	right	lower	right	lower	1	546	109
111	crossed	different	same	50	left	lower	right	lower	0	2186	110
112	crossed	different	different	50	left	lower	right	upper	1	1090	111
113	crossed	same	same	50	left	lower	left	lower	1	1009	112
114	crossed	different	different	800	right	lower	left	upper	1	665	113
115	crossed	different	same	50	left	lower	right	lower	1	1231	114
116	crossed	different	different	300	right	upper	left	lower	1	852	115
117	crossed	same	different	50	right	lower	right	upper	1	847	116
118	crossed	same	same	50	left	lower	left	lower	0	2147	117
119	crossed	different	different	100	right	lower	left	upper	1	1083	118
120	crossed	different	different	50	right	lower	left	upper	1	676	119
121	crossed	same	same	800	left	lower	left	lower	1	1118	120
122	crossed	same	different	800	right	upper	right	lower	1	615	121
123	crossed	same	same	800	right	lower	right	lower	1	458	122
124	crossed	same	same	800	right	lower	right	lower	1	428	123
125	crossed	same	different	300	left	lower	left	upper	1	697	124
126	crossed	same	same	300	right	lower	right	lower	1	555	125
127	crossed	different	different	300	right	upper	left	lower	1	951	126
128	crossed	different	same	100	left	lower	right	lower	1	747	127
129	crossed	different	different	300	left	lower	right	upper	1	557	128
130	crossed	same	same	100	left	lower	left	lower	1	833	129
131	crossed	different	different	800	left	lower	right	upper	1	546	130
132	crossed	different	different	100	right	lower	left	upper	0	2137	131
133	crossed	different	different	800	left	upper	right	lower	1	1168	132
134	crossed	same	different	300	right	upper	right	lower	1	1062	133
135	crossed	different	same	300	left	lower	right	lower	1	1271	134
136	crossed	different	different	100	left	lower	right	upper	0	1034	135
137	crossed	same	different	300	right	lower	right	upper	1	534	136
138	crossed	different	same	50	right	lower	left	lower	1	799	137
139	crossed	different	different	50	right	lower	left	upper	0	1149	138
140	crossed	different	same	800	left	lower	right	lower	1	1391	139
141	crossed	same	different	800	right	lower	right	upper	1	934	140
142	crossed	different	different	300	left	upper	right	lower	1	1547	141
143	crossed	different	different	50	left	upper	right	lower	1	982	142
144	crossed	same	different	800	left	lower	left	upper	1	1139	143
146	crossed	different	same	50	right	lower	left	lower	1	1244	144
147	crossed	different	same	800	right	lower	left	lower	1	960	145
148	crossed	different	same	50	right	lower	left	lower	1	1970	146
149	crossed	different	same	800	right	lower	left	lower	1	589	147
150	crossed	same	same	50	left	lower	left	lower	0	912	148
151	crossed	different	same	50	left	lower	right	lower	0	1593	149
152	crossed	different	different	100	left	lower	right	upper	1	954	150
153	crossed	different	same	300	right	lower	left	lower	0	2110	151
154	crossed	different	same	300	right	lower	left	lower	0	796	152
155	crossed	same	different	100	left	upper	left	lower	1	824	153
156	crossed	same	different	800	right	lower	right	upper	0	943	154
157	crossed	different	different	800	left	lower	right	upper	1	661	155
158	crossed	same	different	800	left	upper	left	lower	1	765	156
159	crossed	different	different	800	right	lower	left	upper	1	1283	157
160	crossed	same	different	50	left	upper	left	lower	1	921	158
161	crossed	same	same	300	right	lower	right	lower	1	1306	159
162	crossed	same	different	100	right	upper	right	lower	1	978	160
163	crossed	same	same	100	right	lower	right	lower	1	620	161
165	crossed	different	same	100	right	lower	left	lower	0	1107	162
166	crossed	same	different	800	right	lower	right	upper	1	863	163
167	crossed	same	different	100	left	upper	left	lower	1	1622	164
168	crossed	same	same	800	right	lower	right	lower	1	870	165
169	crossed	different	different	300	right	upper	left	lower	1	835	166
170	crossed	different	different	800	right	upper	left	lower	1	490	167
171	crossed	same	same	800	left	lower	left	lower	1	837	168
172	crossed	different	same	300	right	lower	left	lower	1	2021	169
173	crossed	different	different	50	left	lower	right	upper	1	1107	170
174	crossed	different	different	50	right	upper	left	lower	1	726	171
175	crossed	different	different	800	right	upper	left	lower	1	690	172
176	crossed	different	same	800	left	lower	right	lower	1	649	173
177	crossed	same	same	50	left	lower	left	lower	1	863	174
178	crossed	different	same	100	left	lower	right	lower	1	1390	175
179	crossed	same	same	50	left	lower	left	lower	1	1361	176
180	crossed	different	same	100	right	lower	left	lower	1	1126	177
181	crossed	same	same	800	right	lower	right	lower	1	846	178
182	crossed	same	same	50	right	lower	right	lower	1	605	179
183	crossed	same	different	100	right	lower	right	upper	1	1199	180
184	crossed	same	different	300	left	lower	left	upper	1	796	181
185	crossed	same	different	300	right	upper	right	lower	1	633	182
186	crossed	same	different	800	right	upper	right	lower	1	919	183
187	crossed	different	different	300	right	upper	left	lower	1	736	184
188	crossed	different	different	50	right	upper	left	lower	1	589	185
189	crossed	different	same	300	left	lower	right	lower	1	666	186
190	crossed	different	same	300	left	lower	right	lower	1	658	187
191	crossed	same	different	100	right	upper	right	lower	1	1177	188
192	crossed	different	different	300	right	lower	left	upper	1	1464	189
193	crossed	same	different	300	left	upper	left	lower	1	806	190
194	crossed	same	different	300	left	upper	left	lower	1	510	191
195	crossed	same	same	50	right	lower	right	lower	1	810	192
196	crossed	same	different	100	left	upper	left	lower	1	852	193
197	crossed	different	same	800	right	lower	left	lower	1	513	194
198	crossed	different	same	50	left	lower	right	lower	1	1367	195
199	crossed	different	different	300	right	lower	left	upper	1	540	196
200	crossed	same	same	100	right	lower	right	lower	1	972	197
201	crossed	same	different	100	left	lower	left	upper	0	1241	198
202	crossed	different	different	300	left	lower	right	upper	0	1102	199
203	crossed	different	different	100	right	upper	left	lower	1	1849	200
204	crossed	different	different	50	left	upper	right	lower	1	2671	201
205	crossed	same	different	50	left	upper	left	lower	1	1333	202
206	crossed	same	same	50	right	lower	right	lower	0	1591	203
207	crossed	different	same	100	right	lower	left	lower	1	850	204
208	crossed	different	same	50	left	lower	right	lower	1	1279	205
209	crossed	same	same	100	left	lower	left	lower	1	835	206
210	crossed	same	different	300	left	lower	left	upper	1	616	207
211	crossed	different	same	800	left	lower	right	lower	1	668	208
212	crossed	different	same	100	right	lower	left	lower	1	2250	209
213	crossed	same	same	50	left	lower	left	lower	0	1430	210
214	crossed	same	different	300	left	lower	left	upper	1	1721	211
215	crossed	same	different	50	right	lower	right	upper	1	1291	212
216	crossed	different	different	300	left	lower	right	upper	1	1060	213
217	crossed	same	same	800	left	lower	left	lower	1	1337	214
218	crossed	same	different	800	left	upper	left	lower	1	635	215
219	crossed	different	different	800	right	lower	left	upper	1	1069	216
220	crossed	different	same	300	left	lower	right	lower	1	1262	217
221	crossed	different	same	100	right	lower	left	lower	1	975	218
222	crossed	same	same	100	left	lower	left	lower	1	999	219
223	crossed	different	different	800	left	lower	right	upper	1	548	220
224	crossed	different	different	800	right	upper	left	lower	1	625	221
225	crossed	same	different	300	right	lower	right	upper	1	842	222
226	crossed	same	same	300	left	lower	left	lower	1	758	223
227	crossed	same	same	800	left	lower	left	lower	1	539	224
228	crossed	same	same	50	left	lower	left	lower	1	661	225
229	crossed	different	same	100	left	lower	right	lower	1	740	226
230	crossed	same	same	100	right	lower	right	lower	1	815	227
231	crossed	different	same	100	right	lower	left	lower	1	683	228
232	crossed	same	same	300	right	lower	right	lower	1	765	229
233	crossed	same	same	300	left	lower	left	lower	1	617	230
234	crossed	same	different	300	right	upper	right	lower	1	537	231
235	crossed	same	different	100	right	upper	right	lower	1	580	232
236	crossed	different	same	100	right	lower	left	lower	1	694	233
237	crossed	same	different	100	right	upper	right	lower	1	672	234
238	crossed	same	different	800	left	upper	left	lower	1	629	235
239	crossed	same	same	100	left	lower	left	lower	1	498	236
240	crossed	different	different	800	right	lower	left	upper	1	1087	237
241	crossed	same	same	300	left	lower	left	lower	1	756	238
242	crossed	different	different	300	left	upper	right	lower	1	959	239
243	crossed	same	different	300	left	upper	left	lower	1	714	240
244	crossed	same	different	800	right	lower	right	upper	1	874	241
245	crossed	different	different	800	left	upper	right	lower	1	823	242
246	crossed	same	same	100	right	lower	right	lower	1	640	243
247	crossed	different	different	50	right	upper	left	lower	1	1048	244
248	crossed	same	same	50	right	lower	right	lower	1	876	245
249	crossed	same	same	50	right	lower	right	lower	1	559	246
250	crossed	different	same	800	left	lower	right	lower	1	701	247
251	crossed	same	same	300	left	lower	left	lower	1	709	248
252	crossed	different	different	100	left	upper	right	lower	1	790	249
253	crossed	same	different	800	left	lower	left	upper	1	723	250
254	crossed	same	different	50	left	lower	left	upper	1	678	251
255	crossed	same	same	50	right	lower	right	lower	1	660	252
256	crossed	different	same	800	left	lower	right	lower	1	739	253
257	crossed	different	same	300	right	lower	left	lower	1	948	254
258	crossed	same	different	800	right	upper	right	lower	1	638	255
259	crossed	different	same	300	right	lower	left	lower	1	617	256
260	crossed	same	same	800	right	lower	right	lower	1	47	257
261	crossed	different	different	100	left	upper	right	lower	1	573	258
262	crossed	different	same	300	right	lower	left	lower	1	570	259
263	crossed	same	different	50	left	upper	left	lower	1	756	260
264	crossed	different	same	800	left	lower	right	lower	1	721	261
265	crossed	same	same	100	left	lower	left	lower	1	1322	262
266	crossed	same	same	800	left	lower	left	lower	1	677	263
267	crossed	different	different	50	left	lower	right	upper	1	1566	264
268	crossed	different	same	50	right	lower	left	lower	1	1421	265
269	crossed	different	same	50	left	lower	right	lower	1	1043	266
270	crossed	different	different	300	left	upper	right	lower	1	696	267
271	crossed	same	different	100	right	lower	right	upper	1	796	268
272	crossed	different	same	800	left	lower	right	lower	1	697	269
273	crossed	different	same	800	left	lower	right	lower	1	619	270
274	crossed	different	different	300	left	upper	right	lower	0	1552	271
275	crossed	same	different	50	right	upper	right	lower	1	832	272
276	crossed	same	same	800	right	lower	right	lower	1	536	273
277	crossed	different	same	50	right	lower	left	lower	1	758	274
278	crossed	different	different	300	left	lower	right	upper	1	1272	275
279	crossed	different	same	100	left	lower	right	lower	1	765	276
280	crossed	different	different	800	left	upper	right	lower	1	1042	277
282	crossed	same	same	800	left	lower	left	lower	1	627	278
283	crossed	same	same	800	left	lower	left	lower	1	507	279
284	crossed	different	different	300	right	upper	left	lower	1	593	280
285	crossed	same	different	50	left	upper	left	lower	1	999	281
286	crossed	same	different	50	left	upper	left	lower	1	580	282
287	crossed	same	different	100	right	lower	right	upper	1	553	283
288	crossed	same	different	800	right	upper	right	lower	1	525	284
289	crossed	same	same	100	right	lower	right	lower	1	582	285
290	crossed	same	same	300	left	lower	left	lower	1	726	286
291	crossed	different	different	100	right	upper	left	lower	1	748	287
292	crossed	same	same	300	right	lower	right	lower	1	736	288
293	crossed	different	same	100	right	lower	left	lower	1	697	289
294	crossed	same	different	800	right	upper	right	lower	1	699	290
295	crossed	same	different	50	left	lower	left	upper	1	911	291
296	crossed	different	same	100	left	lower	right	lower	1	1620	292
297	crossed	same	same	50	left	lower	left	lower	1	752	293
298	crossed	different	same	300	left	lower	right	lower	1	663	294
299	crossed	different	different	50	right	upper	left	lower	1	1138	295
300	crossed	different	different	800	left	lower	right	upper	1	812	296
301	crossed	same	different	100	left	upper	left	lower	1	739	297
302	crossed	same	same	800	left	lower	left	lower	1	548	298
303	crossed	different	different	100	right	upper	left	lower	1	786	299
304	crossed	same	different	50	right	lower	right	upper	1	684	300
305	crossed	different	same	50	left	lower	right	lower	1	847	301
306	crossed	different	same	800	left	lower	right	lower	1	846	302
307	crossed	same	same	50	right	lower	right	lower	1	644	303
308	crossed	same	same	50	right	lower	right	lower	1	573	304
309	crossed	different	same	300	right	lower	left	lower	1	531	305
310	crossed	different	different	100	right	lower	left	upper	1	1700	306
311	crossed	same	same	800	left	lower	left	lower	1	628	307
312	crossed	different	same	50	right	lower	left	lower	1	1915	308
314	crossed	same	same	50	right	lower	right	lower	1	1006	309
315	crossed	same	different	50	right	upper	right	lower	1	565	310
316	crossed	different	same	300	left	lower	right	lower	1	1044	311
317	crossed	same	different	100	left	lower	left	upper	1	812	312
318	crossed	different	different	300	left	upper	right	lower	1	647	313
319	crossed	same	different	100	left	lower	left	upper	1	711	314
320	crossed	different	different	800	left	upper	right	lower	1	584	315
321	crossed	different	different	100	right	upper	left	lower	1	2179	316
322	crossed	different	different	100	right	lower	left	upper	0	2095	317
323	crossed	different	different	50	right	lower	left	upper	0	654	318
324	crossed	different	same	50	right	lower	left	lower	1	1283	319
325	crossed	different	different	100	right	lower	left	upper	1	1300	320
326	crossed	different	same	800	left	lower	right	lower	1	911	321
327	crossed	same	same	50	left	lower	left	lower	1	1083	322
328	crossed	same	different	50	left	lower	left	upper	1	649	323
329	crossed	same	same	800	right	lower	right	lower	1	837	324
330	crossed	different	different	50	right	lower	left	upper	0	2324	325
331	crossed	different	same	100	left	lower	right	lower	1	845	326
332	crossed	same	same	300	right	lower	right	lower	1	979	327
333	crossed	same	same	100	right	lower	right	lower	1	603	328
334	crossed	different	same	100	right	lower	left	lower	1	1672	329
335	crossed	different	different	50	left	upper	right	lower	1	1425	330
336	crossed	different	different	100	left	lower	right	upper	1	851	331
337	crossed	same	different	300	right	lower	right	upper	1	781	332
338	crossed	different	same	100	left	lower	right	lower	1	714	333
339	crossed	same	different	800	left	lower	left	upper	1	1078	334
340	crossed	different	same	800	right	lower	left	lower	1	712	335
341	crossed	same	same	800	left	lower	left	lower	1	660	336
342	crossed	different	same	100	left	lower	right	lower	1	1108	337
343	crossed	same	different	800	left	upper	left	lower	1	579	338
344	crossed	same	different	300	left	upper	left	lower	1	628	339
345	crossed	same	different	100	right	upper	right	lower	1	755	340
346	crossed	different	same	100	left	lower	right	lower	1	728	341
347	crossed	different	same	300	left	lower	right	lower	1	876	342
348	crossed	different	same	300	right	lower	left	lower	1	584	343
349	crossed	same	same	800	right	lower	right	lower	1	687	344
350	crossed	same	different	300	left	lower	left	upper	1	922	345
351	crossed	same	same	100	right	lower	right	lower	1	812	346
352	crossed	same	different	300	right	lower	right	upper	1	1156	347
353	crossed	different	same	300	left	lower	right	lower	1	1094	348
354	crossed	different	different	300	left	upper	right	lower	0	2211	349
355	crossed	different	same	50	right	lower	left	lower	1	917	350
356	crossed	different	same	800	right	lower	left	lower	1	872	351
357	crossed	same	different	300	right	upper	right	lower	1	1636	352
358	crossed	different	same	800	right	lower	left	lower	1	623	353
359	crossed	different	same	50	right	lower	left	lower	1	650	354
360	crossed	different	same	800	right	lower	left	lower	1	582	355
361	crossed	same	same	300	right	lower	right	lower	1	796	356
362	crossed	different	different	300	right	lower	left	upper	1	583	357
363	crossed	same	same	300	right	lower	right	lower	1	732	358
364	crossed	different	same	100	left	lower	right	lower	1	898	359
365	crossed	different	different	50	right	upper	left	lower	1	714	360
366	crossed	same	same	800	right	lower	right	lower	1	848	361
367	crossed	different	different	100	left	upper	right	lower	1	753	362
368	crossed	different	different	800	right	lower	left	upper	1	556	363
369	crossed	same	same	300	right	lower	right	lower	1	631	364
370	crossed	same	same	50	left	lower	left	lower	1	677	365
371	crossed	same	same	300	right	lower	right	lower	1	505	366
372	crossed	same	different	100	right	lower	right	upper	1	539	367
373	crossed	different	same	300	right	lower	left	lower	1	670	368
374	crossed	different	different	50	right	lower	left	upper	1	778	369
375	crossed	different	different	50	left	lower	right	upper	1	820	370
376	crossed	different	different	100	right	upper	left	lower	1	991	371
377	crossed	different	same	50	left	lower	right	lower	1	2111	372
378	crossed	different	different	50	left	upper	right	lower	1	2720	373
379	crossed	same	same	300	left	lower	left	lower	1	799	374
380	crossed	different	same	50	left	lower	right	lower	1	765	375
381	crossed	different	different	300	left	lower	right	upper	0	767	376
382	crossed	different	same	800	left	lower	right	lower	1	1233	377
383	crossed	different	same	100	left	lower	right	lower	1	923	378
384	crossed	same	different	50	left	lower	left	upper	1	1159	379
385	crossed	same	same	800	right	lower	right	lower	1	634	380
386	crossed	same	same	100	left	lower	left	lower	1	702	381
387	crossed	different	same	800	right	lower	left	lower	1	1049	382
388	crossed	same	same	100	left	lower	left	lower	1	501	383
389	crossed	different	same	800	left	lower	right	lower	1	659	384
1	uncrossed	different	different	100	right	lower	left	upper	1	640	769
2	uncrossed	same	same	50	left	lower	left	lower	1	648	770
3	uncrossed	different	same	100	left	lower	right	lower	1	515	771
4	uncrossed	same	different	50	right	upper	right	lower	1	1470	772
5	uncrossed	different	different	300	left	lower	right	upper	1	680	773
6	uncrossed	same	same	800	left	lower	left	lower	1	693	774
7	uncrossed	same	different	50	right	lower	right	upper	1	781	775
8	uncrossed	different	different	50	left	lower	right	upper	1	736	776
9	uncrossed	same	different	100	right	upper	right	lower	1	744	777
10	uncrossed	different	different	300	right	upper	left	lower	1	905	778
11	uncrossed	same	different	50	left	lower	left	upper	1	630	779
12	uncrossed	different	same	100	left	lower	right	lower	1	758	780
13	uncrossed	same	different	100	left	lower	left	upper	1	528	781
14	uncrossed	different	same	300	right	lower	left	lower	1	733	782
15	uncrossed	same	different	800	left	lower	left	upper	1	749	783
16	uncrossed	different	different	800	left	upper	right	lower	1	524	784
17	uncrossed	different	same	50	left	lower	right	lower	1	1771	785
18	uncrossed	same	different	800	left	upper	left	lower	1	551	786
19	uncrossed	same	different	100	left	lower	left	upper	1	513	787
20	uncrossed	different	different	800	right	lower	left	upper	1	510	788
21	uncrossed	different	different	800	left	upper	right	lower	1	714	789
22	uncrossed	different	different	100	right	upper	left	lower	1	682	790
23	uncrossed	different	same	50	right	lower	left	lower	1	595	791
24	uncrossed	same	different	300	left	lower	left	upper	1	920	792
25	uncrossed	same	different	50	right	upper	right	lower	1	557	793
26	uncrossed	same	different	100	right	upper	right	lower	1	469	794
27	uncrossed	same	different	800	left	lower	left	upper	1	1597	795
28	uncrossed	different	same	300	right	lower	left	lower	1	576	796
29	uncrossed	same	same	100	right	lower	right	lower	1	550	797
30	uncrossed	different	different	50	right	upper	left	lower	1	612	798
31	uncrossed	same	same	800	right	lower	right	lower	1	586	799
32	uncrossed	same	different	800	right	upper	right	lower	1	514	800
33	uncrossed	different	different	100	left	lower	right	upper	1	662	801
34	uncrossed	same	different	50	left	upper	left	lower	1	592	802
35	uncrossed	same	different	300	right	upper	right	lower	1	782	803
36	uncrossed	different	same	800	left	lower	right	lower	1	676	804
37	uncrossed	different	different	50	left	upper	right	lower	1	794	805
38	uncrossed	same	different	50	right	upper	right	lower	1	517	806
39	uncrossed	same	same	800	right	lower	right	lower	1	514	807
40	uncrossed	same	different	50	left	lower	left	upper	1	688	808
41	uncrossed	same	same	800	right	lower	right	lower	1	495	809
42	uncrossed	same	different	300	right	lower	right	upper	1	527	810
43	uncrossed	same	same	100	right	lower	right	lower	1	467	811
44	uncrossed	different	same	800	left	lower	right	lower	1	715	812
45	uncrossed	same	different	800	left	lower	left	upper	1	550	813
46	uncrossed	different	same	50	left	lower	right	lower	1	1038	814
47	uncrossed	different	same	100	right	lower	left	lower	1	841	815
48	uncrossed	same	same	300	left	lower	left	lower	1	550	816
49	uncrossed	same	different	50	right	upper	right	lower	1	699	817
50	uncrossed	same	same	800	left	lower	left	lower	1	818	818
51	uncrossed	same	same	100	right	lower	right	lower	1	518	819
52	uncrossed	same	same	100	right	lower	right	lower	1	561	820
55	uncrossed	same	same	50	right	lower	right	lower	1	480	821
58	uncrossed	same	same	300	right	lower	right	lower	1	580	822
61	uncrossed	different	different	800	right	upper	left	lower	1	1096	823
62	uncrossed	different	different	100	right	lower	left	upper	1	707	824
63	uncrossed	same	different	100	right	lower	right	upper	1	699	825
64	uncrossed	different	different	800	right	lower	left	upper	1	591	826
65	uncrossed	same	same	800	right	lower	right	lower	1	1055	827
66	uncrossed	different	same	800	right	lower	left	lower	1	1157	828
67	uncrossed	different	different	300	left	upper	right	lower	0	665	829
69	uncrossed	same	different	800	right	upper	right	lower	1	688	830
70	uncrossed	same	different	100	right	lower	right	upper	1	562	831
73	uncrossed	different	same	100	right	lower	left	lower	0	1091	832
74	uncrossed	same	same	100	right	lower	right	lower	1	478	833
75	uncrossed	different	same	300	right	lower	left	lower	1	726	834
77	uncrossed	same	same	100	left	lower	left	lower	1	1550	835
78	uncrossed	same	same	300	left	lower	left	lower	1	742	836
79	uncrossed	different	same	300	right	lower	left	lower	1	701	837
80	uncrossed	different	different	300	left	lower	right	upper	1	2333	838
81	uncrossed	same	different	800	right	lower	right	upper	1	837	839
82	uncrossed	same	different	800	left	upper	left	lower	1	1066	840
83	uncrossed	different	same	100	left	lower	right	lower	1	1651	841
84	uncrossed	same	same	50	right	lower	right	lower	1	700	842
85	uncrossed	same	different	800	right	lower	right	upper	1	699	843
86	uncrossed	different	different	800	left	lower	right	upper	1	1280	844
87	uncrossed	different	different	50	right	upper	left	lower	1	1476	845
88	uncrossed	same	same	300	left	lower	left	lower	1	1745	846
89	uncrossed	different	same	50	left	lower	right	lower	1	987	847
90	uncrossed	different	same	100	left	lower	right	lower	1	1463	848
91	uncrossed	same	same	300	left	lower	left	lower	1	1268	849
92	uncrossed	same	different	800	right	upper	right	lower	1	979	850
93	uncrossed	same	same	300	right	lower	right	lower	1	596	851
94	uncrossed	different	different	50	right	lower	left	upper	1	725	852
96	uncrossed	different	different	50	right	lower	left	upper	1	853	853
97	uncrossed	same	different	50	left	lower	left	upper	1	2750	854
98	uncrossed	different	same	50	right	lower	left	lower	1	616	855
99	uncrossed	different	same	800	right	lower	left	lower	1	495	856
101	uncrossed	same	different	50	right	lower	right	upper	0	728	857
102	uncrossed	different	different	300	right	lower	left	upper	1	656	858
103	uncrossed	same	different	50	right	upper	right	lower	1	883	859
106	uncrossed	same	same	50	left	lower	left	lower	1	1080	860
107	uncrossed	different	different	50	right	lower	left	upper	1	651	861
108	uncrossed	same	same	800	right	lower	right	lower	1	1215	862
109	uncrossed	different	same	800	right	lower	left	lower	1	1632	863
110	uncrossed	different	same	100	left	lower	right	lower	1	2896	864
111	uncrossed	same	same	300	left	lower	left	lower	1	1747	865
113	uncrossed	same	same	800	left	lower	left	lower	1	1870	866
115	uncrossed	different	same	50	left	lower	right	lower	0	884	867
