trial_in_run	posture	stim_side	stim_segment	soa	tactor1side	tactor1segment	tactor2side	tactor2segment	response_correct	rt	trial
1	crossed	different	same	800	right	lower	left	lower	1	1102	1
2	crossed	same	different	300	right	lower	right	upper	1	1497	2
3	crossed	same	different	50	left	lower	left	upper	0	1804	3
4	crossed	same	same	100	left	lower	left	lower	1	1490	4
5	crossed	same	different	100	left	upper	left	lower	1	827	5
6	crossed	different	different	800	right	upper	left	lower	1	1067	6
7	crossed	same	different	800	left	lower	left	upper	1	1837	7
8	crossed	different	different	800	left	upper	right	lower	1	857	8
9	crossed	different	same	800	right	lower	left	lower	1	1083	9
10	crossed	same	different	50	right	upper	right	lower	1	904	10
11	crossed	different	different	100	left	lower	right	upper	1	1096	11
12	crossed	same	same	100	right	lower	right	lower	1	622	12
13	crossed	same	different	100	right	lower	right	upper	1	389	13
14	crossed	same	different	300	left	upper	left	lower	1	472	14
15	crossed	different	same	50	right	lower	left	lower	1	809	15
16	crossed	different	different	800	right	lower	left	upper	1	710	16
17	crossed	different	different	50	left	lower	right	upper	0	970	17
18	crossed	same	different	50	left	upper	left	lower	1	808	18
19	crossed	different	different	300	right	lower	left	upper	1	715	19
20	crossed	same	same	50	left	lower	left	lower	1	737	20
21	crossed	different	different	800	right	upper	left	lower	1	1204	21
22	crossed	different	different	800	right	upper	left	lower	1	428	22
23	crossed	same	different	800	left	upper	left	lower	1	731	23
24	crossed	different	different	300	right	upper	left	lower	1	1084	24
25	crossed	same	different	50	right	lower	right	upper	1	1129	25
26	crossed	same	different	50	right	lower	right	upper	1	553	26
27	crossed	different	different	100	left	lower	right	upper	1	685	27
28	crossed	same	different	300	left	lower	left	upper	1	829	28
29	crossed	same	different	800	right	upper	right	lower	1	857	29
30	crossed	same	same	300	left	lower	left	lower	1	659	30
31	crossed	same	different	300	right	upper	right	lower	1	574	31
32	crossed	same	different	800	left	upper	left	lower	1	539	32
33	crossed	same	same	300	left	lower	left	lower	1	507	33
34	crossed	same	same	100	left	lower	left	lower	1	661	34
35	crossed	different	same	800	right	lower	left	lower	1	797	35
36	crossed	different	same	100	left	lower	right	lower	1	707	36
